,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
130,0.032899061838785805,0.0020370475337050326,0.009077787399291992,0.006644956688872492,balanced,gini,6,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.2889589905362776,0.2747858017135863,0.2707672796448954,0.27817069063158645,0.007802892242807949,180
84,0.05784853299458822,0.007766950133828199,0.0130918820699056,0.003593666195785955,balanced,entropy,6,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.20884196634774002,0.42637362637362636,0.18201970443349755,0.272411765718288,0.10941678523239912,181
107,0.03003525733947754,0.0017219532272903975,0.014697392781575521,0.004440063978793651,balanced,entropy,9,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2928053541550474,0.26627508565834557,0.22409823484267075,0.2610595582186879,0.02829096859313535,182
143,0.02675906817118327,0.00792083059355728,0.018893877665201824,0.004622048364098007,balanced,gini,9,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2897042716319825,0.26627508565834557,0.22409823484267075,0.2600258640443329,0.027145626951511157,183
132,0.07641641298929851,0.013262203355241517,0.010418176651000977,0.007366764335550421,balanced,gini,9,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.2062364927446743,0.2430795847750865,0.2926682692307692,0.24732811558351,0.035413279121050634,184
91,0.02739254633585612,0.005463036288220125,0.009217421213785807,0.006681917156402287,balanced,entropy,6,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.28484107579462103,0.217440543601359,0.2375,0.24659387313199335,0.028257527980927264,185
127,0.03125659624735514,4.777634418865565e-06,0.005346059799194336,0.007560470273278215,balanced,gini,6,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.2844932844932845,0.21778447626224567,0.23676148796498905,0.2463464162401731,0.02806444264464311,186
100,0.061191717783610024,0.010679965862180393,0.017629702885945637,0.002832044105790637,balanced,entropy,9,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.2125748502994012,0.2715863453815261,0.23202875399361023,0.23872998322484584,0.024552922336103396,187
96,0.07363327344258626,0.0034772463906643856,0.005338509877522786,0.003774903407412936,balanced,entropy,9,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.22264675234456408,0.23438138015516538,0.24537444933920705,0.23413419394631219,0.009280189597074016,188
98,0.06763545672098796,0.00771239401828708,0.010417461395263672,0.007366257852564334,balanced,entropy,9,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.19866629619338705,0.2719206680584551,0.22243060765191297,0.2310058573012517,0.030514498512977748,189
105,0.0386049747467041,0.005749329203124664,0.010547955830891928,0.009814644221445198,balanced,entropy,9,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.24253731343283583,0.23446561723280862,0.20265268352868598,0.22655187139811014,0.017217558005321324,190
138,0.04375521341959635,0.004709032265850735,0.003337224324544271,0.004719547900451899,balanced,gini,9,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.1944063613929257,0.21569965870307167,0.267590027700831,0.22589868259894277,0.030735184180220573,191
102,0.03392704327901205,0.0037722749541232656,0.013088464736938477,0.0035919239089867243,balanced,entropy,9,sqrt,0.005,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'random'}",0.19519602429596908,0.21642808452624404,0.26483516483516484,0.22548642455245935,0.029142667651656563,192
141,0.03210949897766113,0.000952591539665804,0.010547717412312826,0.0074598085866761634,balanced,gini,9,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.24444444444444444,0.22619984264358772,0.19939209726443768,0.22334546145082332,0.018502956801588425,193
134,0.07612355550130208,0.01897209116317617,0.00787655512491862,0.006380567238526087,balanced,gini,9,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20562175374274366,0.22118612458038045,0.2430890741553313,0.22329898415948513,0.015368759577481352,194
131,0.031296173731486,0.0083003869175902,0.010550260543823242,0.004133282487048929,balanced,gini,6,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2071767095463778,0.222265625,0.23927765237020315,0.222906662305527,0.013112991755378434,195
95,0.031525373458862305,0.0003766355577781717,0.0052102406819661455,0.007368393035664568,balanced,entropy,6,sqrt,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'best'}",0.2071767095463778,0.22013061851709567,0.23927765237020315,0.2221949934778922,0.013186201513417957,196
136,0.061032613118489586,0.003603786478502257,0.00988022486368815,0.007017399427501457,balanced,gini,9,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.2011611030478955,0.2674135411592791,0.1969332531569453,0.22183596578804,0.03227439863850646,197
93,0.026183605194091797,0.007477526849002449,0.01563239097595215,7.249911353938093e-06,balanced,entropy,6,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.19505935194096888,0.22289844047166224,0.2375,0.21848593080421033,0.0176050150637378,198
129,0.03673020998636881,0.007464008606528434,0.010423660278320312,0.007370646073278231,balanced,gini,6,sqrt,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'best'}",0.19505935194096888,0.2230681385610963,0.23676148796498905,0.21829632615568476,0.01735597269848433,199
101,0.07917054494222005,0.0008749157631572931,0.013508081436157227,0.010826195305680606,balanced,entropy,9,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.2189631650750341,0.2044378698224852,0.23114158935054457,0.21818087474935463,0.01091577277073726,200
99,0.07894961039225261,0.0132922031245389,0.01564168930053711,4.561215989520309e-06,balanced,entropy,9,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.21833910034602075,0.2037525652301378,0.23048327137546468,0.21752497898387438,0.010927938443920742,201
103,0.036818742752075195,0.007595686469862585,0.010420799255371094,0.007368618747138945,balanced,entropy,9,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.22817314746881878,0.21858736059479553,0.20276794335371742,0.21650948380577725,0.010475185853410795,202
139,0.029385884602864582,0.002642176855361089,0.012596845626831055,0.004659096793748829,balanced,gini,9,sqrt,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.005, 'splitter': 'best'}",0.2194708276797829,0.21858736059479553,0.21052631578947367,0.21619483468801737,0.004024442686047704,203
